iter	RMSE
184	7.045761789
185	7.030875482
186	7.011641235
187	7.001481493
188	6.98480855
189	6.953334544
190	6.929053195
191	6.906484587
192	6.901503915
193	6.889937848
194	6.855162317
195	6.82880832
196	6.79090089
197	6.775738385
198	6.756197811
199	6.7352622
200	6.705778012
201	6.682506669
202	6.659868324
203	6.640111331
204	6.614559663
205	6.60588248
206	6.592555754
207	6.576071485
208	6.565062996
209	6.528239757
210	6.512574911
211	6.48643584
212	6.457699082
213	6.45343036
214	6.444163614
215	6.415628146
216	6.399761745
217	6.383728624
218	6.362505129
219	6.351936845
220	6.337100134
221	6.326707048
222	6.311449702
223	6.293716267
224	6.26980882
225	6.242779964
226	6.238925263
227	6.230263166
228	6.217149832
229	6.202295723
230	6.178250629
231	6.165096207
232	6.162263512
233	6.143120699
234	6.134147311
235	6.111446402
236	6.109053892
237	6.093887991
238	6.05931423
239	6.041318798
240	6.030335831
241	6.005242642
242	5.99550165
243	5.98277786
244	5.967789935
245	5.958853689
246	5.927640565
247	5.900740215
248	5.895642656
249	5.87698547
250	5.853429047
251	5.823602728
252	5.812865152
253	5.794252134
254	5.779895584
255	5.771739587
256	5.757827127
257	5.750170078
258	5.725157101
259	5.707372092
260	5.705234241
261	5.689702261
262	5.672093335
263	5.646780708
264	5.631998759
265	5.610657835
266	5.587914464
267	5.582091419
268	5.577768008
269	5.558307414
270	5.533257526
271	5.508042078
272	5.496239619
273	5.47481374
274	5.462663912
275	5.45463599
276	5.440912505
277	5.438564671
278	5.417221202
279	5.414870474
280	5.408852189
281	5.398011922
282	5.392904792
283	5.370422274
284	5.359471068
285	5.33461406
286	5.328746825
287	5.312182354
288	5.298485022
289	5.292275911
290	5.281482136
291	5.279126205
292	5.270350659
293	5.256160665
294	5.255664607
295	5.244824126
296	5.231085512
297	5.215287458
298	5.203459294
299	5.191746385
300	5.170853572
301	5.161867974
302	5.143975055
303	5.141125211
304	5.13519064
305	5.134530444
306	5.107056946
307	5.091765565
308	5.087757073
309	5.070898412
310	5.068850694
311	5.064741753
312	5.045062622
313	5.037471859
314	5.035194197
315	5.01535571
316	5.012288117
317	4.993341991
318	4.99237983
319	4.973406246
320	4.972046651
321	4.966971977
322	4.954693586
323	4.944406279
324	4.930739975
325	4.929019617
326	4.92354967
327	4.902165476
328	4.88684937
329	4.874711961
330	4.866284053
331	4.85680126
332	4.854693457
333	4.851193305
334	4.827736145
335	4.809117198
336	4.799608827
337	4.791004535
338	4.760610178
339	4.748613662
340	4.741146996
341	4.738608395
342	4.735456882
343	4.730629083
344	4.726251531
345	4.709347528
346	4.704390052
347	4.69291873
348	4.681049535
349	4.679659806
350	4.678306949
351	4.663878806
352	4.658136464
353	4.643830321
354	4.635091234
355	4.634610747
356	4.611146745
357	4.599605294
358	4.59152368
359	4.573411367
360	4.566522698
361	4.544800934
362	4.540769009
363	4.520152775
364	4.490603104
365	4.473722993
366	4.45616323
367	4.455555002
368	4.437138025
369	4.423269342
370	4.392905615
371	4.387231264
372	4.372514115
373	4.359168587
374	4.348446494
375	4.338113886
376	4.326964473
377	4.310735442
378	4.305154925
379	4.298730935
380	4.286861103
381	4.276968655
382	4.266603158
383	4.262101353
384	4.247897413
385	4.237326013
386	4.230648709
387	4.222510487
388	4.215419912
389	4.201476964
390	4.194646984
391	4.17730512
392	4.15824655
393	4.148443145
394	4.139120523
395	4.1200893
396	4.108570802
397	4.097418933
398	4.085158374
399	4.082240802
400	4.074836649
401	4.073236634
402	4.062202267
403	4.061213138
404	4.057184963
405	4.047136028
406	4.04098537
407	4.033794248
408	4.014998437
409	4.002797691
410	3.994077872
411	3.987314405
412	3.981694506
413	3.962789239
414	3.949881032
415	3.945397155
416	3.932788341
417	3.928344566
418	3.926786804
419	3.91782107
420	3.910295728
421	3.904293959
422	3.903059629
423	3.885861432
424	3.879430229
425	3.873743573
426	3.866850755
427	3.848409606
428	3.846791565
429	3.846135434
430	3.844193142
431	3.827910259
432	3.819852279
433	3.806375105
434	3.795290049
435	3.792492084
436	3.77979673
437	3.777716401
438	3.768689792
439	3.756928552
440	3.747723022
441	3.742960337
442	3.736456376
443	3.721362452
444	3.720379155
445	3.714180262
446	3.707216508
447	3.699370967
448	3.696268024
449	3.693968732
450	3.691531004
451	3.684426835
452	3.681736663
453	3.671325899
454	3.662669799
455	3.649924685
456	3.639005313
457	3.629937174
458	3.614580548
459	3.610500305
460	3.60041849
461	3.593409471
462	3.579281438
463	3.571245539
464	3.559101186
465	3.549057705
466	3.539509894
467	3.538573331
468	3.524693391
469	3.508373888
470	3.501134612
471	3.492290093
472	3.48634619
473	3.478901376
474	3.471584646
475	3.470410116
476	3.469132629
477	3.463867412
478	3.462021609
479	3.454275753
480	3.449859529
481	3.435876264
482	3.430885133
483	3.42021221
484	3.405582261
485	3.40304135
486	3.393639997
487	3.391382905
488	3.389084176
489	3.381584443
490	3.370291126
491	3.358371533
492	3.357255642
493	3.356685489
494	3.356262333
495	3.344077326
496	3.343721323
497	3.339967568
498	3.33899946
499	3.331677552
500	3.326959267
501	3.318834339
502	3.312570112
503	3.304361159
504	3.301172993
505	3.298877688
506	3.295563608
507	3.286253514
508	3.276177547
509	3.268093616
510	3.265250478
511	3.264453058
512	3.253971314
513	3.249262411
514	3.248150614
515	3.246405947
516	3.236229965
517	3.227321258
518	3.219737986
519	3.207495495
520	3.197565104
521	3.193914351
522	3.19228308
523	3.173908221
524	3.173507988
525	3.166730919
526	3.16582031
527	3.159015076
528	3.151966878
529	3.144217435
530	3.132695518
531	3.122741277
532	3.1160629
533	3.111126844
534	3.110045526
535	3.108832589
536	3.097185383
537	3.088927037
538	3.083698324
539	3.07780699
540	3.071304833
541	3.069397849
542	3.065916107
543	3.057398664
544	3.04629974
545	3.035949479
546	3.031677478
547	3.025603182
548	3.019532437
549	3.015756832
550	3.012444844
551	3.003895731
552	2.993493747
553	2.983086143
554	2.981891631
555	2.975353855
556	2.965471668
557	2.960835511
558	2.954708576
559	2.947292094
560	2.946430245
561	2.934732209
562	2.930670255
563	2.929584507
564	2.924904535
565	2.917265071
566	2.906321125
567	2.901922605
568	2.900683083
569	2.900087673
570	2.890147868
571	2.885467956
572	2.881263117
573	2.880204712
574	2.875915736
575	2.873286435
576	2.86281096
577	2.859558745
578	2.854841432
579	2.854284292
580	2.843845535
581	2.84019049
582	2.839050969
583	2.837736603
584	2.835236935
585	2.823960797
586	2.816241114
587	2.813062755
588	2.808922778
589	2.800231939
590	2.794964084
591	2.7853193
592	2.782915028
593	2.771097386
594	2.766272401
595	2.759057065
596	2.754294115
597	2.751644574
598	2.739052495
599	2.737143811
600	2.736059945
601	2.734755416
602	2.728391052
603	2.723169485
604	2.714998238
605	2.713116751
606	2.711151846
607	2.707062838
608	2.703359318
609	2.695024337
610	2.692439023
611	2.68703189
612	2.686199573
613	2.685319724
614	2.679262417
615	2.673360217
616	2.665475011
617	2.664636901
618	2.660206237
619	2.651594036
620	2.646316961
621	2.643979635
622	2.643413674
623	2.638012272
624	2.634705759
625	2.625212308
626	2.624465891
627	2.609158254
628	2.599349796
629	2.594938076
630	2.590554349
631	2.586378047
632	2.582300797
633	2.577494382
634	2.563649678
635	2.555291042
636	2.54599384
637	2.538077735
638	2.534954905
639	2.532263274
640	2.52583159
641	2.519029729
642	2.514560657
643	2.50731185
644	2.503306133
645	2.502766395
646	2.499917087
647	2.494482955
648	2.487551179
649	2.484405885
650	2.481143958
651	2.478430436
652	2.478135932
653	2.474112178
654	2.473708757
655	2.470544745
656	2.464635236
657	2.462215129
658	2.454212224
659	2.451860893
660	2.450117637
661	2.447002961
662	2.442830444
663	2.435066093
664	2.431434657
665	2.431099725
666	2.426851639
667	2.422458122
668	2.412979013
669	2.408961864
670	2.403564046
671	2.401950806
672	2.400021544
673	2.399098009
674	2.39069997
675	2.390260715
676	2.388899307
677	2.385397148
678	2.381608986
679	2.375935557
680	2.366800105
681	2.363807123
682	2.358423645
683	2.354427281
684	2.35036072
685	2.347464411
686	2.343344259
687	2.339984895
688	2.338756171
689	2.333692188
690	2.329784125
691	2.329370703
692	2.323267808
693	2.312543435
694	2.308440605
695	2.300935987
696	2.299323547
697	2.29396325
698	2.288657505
699	2.285845485
700	2.282481403
701	2.281731985
702	2.276806472
703	2.276413129
704	2.27223364
705	2.260938653
706	2.257111204
707	2.255207333
708	2.251871351
709	2.244829712
710	2.238011067
711	2.233461564
712	2.228929319
713	2.220519948
714	2.219279371
715	2.217459105
716	2.214164881
717	2.211948547
718	2.208036747
719	2.203189378
720	2.200486758
721	2.192936798
722	2.191019863
723	2.190782091
724	2.187750734
725	2.187299915
726	2.178531572
727	2.174594062
728	2.16903399
729	2.164254048
730	2.158539544
731	2.149775247
732	2.147046583
733	2.144932449
734	2.139539765
735	2.136571721
736	2.133635921
737	2.127389805
738	2.1228535
739	2.117863808
740	2.115137825
741	2.107327346
742	2.102582519
743	2.100734141
744	2.099600106
745	2.091825273
746	2.091106397
747	2.084450909
748	2.079541057
749	2.076164453
750	2.075799111
751	2.071439305
752	2.069052617
753	2.064209973
754	2.060816447
755	2.056714716
756	2.054272875
757	2.046889373
758	2.044867829
759	2.041915207
760	2.036649537
761	2.032512284
762	2.023939502
763	2.022173436
764	2.017346214
765	2.015674608
766	2.010728754
767	2.006242065
768	2.000149933
769	1.995868559
770	1.991388351
771	1.988418687
772	1.981686004
773	1.97739399
774	1.976253123
775	1.975383229
776	1.967572717
777	1.960275412
778	1.958293136
779	1.95451319
780	1.954419189
781	1.95185567
782	1.948796756
783	1.945428508
784	1.936608572
785	1.928676156
786	1.923901871
787	1.917095874
788	1.915368897
789	1.908075643
790	1.905528806
791	1.900122633
792	1.893961023
793	1.892618797
794	1.88569325
795	1.884398847
796	1.878803529
797	1.875748483
798	1.873508146
799	1.868653201
800	1.86521989
801	1.861097571
802	1.861002704
803	1.858036135
804	1.855627512
805	1.854016081
806	1.85392516
807	1.84812029
808	1.846684116
809	1.845884544
810	1.841100762
811	1.839839321
812	1.83868613
813	1.831528785
814	1.825410703
815	1.821364244
816	1.817752296
817	1.815575885
818	1.813139308
819	1.812107163
820	1.808530581
821	1.804783023
822	1.800015601
823	1.798503388
824	1.79763443
825	1.794406279
826	1.791502665
827	1.786893413
828	1.784349223
829	1.78284762
830	1.778201919
831	1.774476265
832	1.770089025
833	1.764465249
834	1.762556258
835	1.75990812
836	1.755230046
837	1.750789438
838	1.747770625
839	1.744525692
840	1.740705323
841	1.738030686
842	1.735591837
843	1.729657183
844	1.727219112
845	1.7249207
846	1.720814532
847	1.718789519
848	1.718418468
849	1.71581463
850	1.713045497
851	1.70837338
852	1.706621157
853	1.704797004
854	1.699580738
855	1.693943464
856	1.693562304
857	1.690821771
858	1.688360495
859	1.687352303
860	1.683535428
861	1.683108858
862	1.68253911
863	1.678993092
864	1.677079396
865	1.673118496
866	1.672830741
867	1.667342282
868	1.663882449
869	1.661479643
870	1.655998028
871	1.652709443
872	1.648564173
873	1.648015352
874	1.644310005
875	1.641452409
876	1.636834746
877	1.635922222
878	1.632296767
879	1.629921525
880	1.624810465
881	1.622914381
882	1.620401501
883	1.616572514
884	1.611942658
885	1.611013497
886	1.605359299
887	1.60119076
888	1.598528872
889	1.597030528
890	1.59557858
891	1.594538338
892	1.588573603
893	1.587129666
894	1.579244115
895	1.576122447
896	1.571890172
897	1.567443739
898	1.560700126
899	1.558545657
900	1.553763728
901	1.550850449
902	1.548863788
903	1.54250762
904	1.539962615
905	1.537333582
906	1.534452097
907	1.532548193
908	1.53076994
909	1.528922707
910	1.525371401
911	1.523595748
912	1.519965847
913	1.514029375
914	1.512342854
915	1.509186866
916	1.507936024
917	1.506311409
918	1.504506308
919	1.500718207
920	1.498284952
921	1.496537009
922	1.493897336
923	1.492759923
924	1.492193322
925	1.487969672
926	1.479957192
927	1.479519811
928	1.476467079
929	1.476216073
930	1.474615542
931	1.470844726
932	1.467959252
933	1.464452061
934	1.460927936
935	1.458670853
936	1.457247418
937	1.454116416
938	1.451889213
939	1.449277739
940	1.448006796
941	1.444791126
942	1.442266157
943	1.441333986
944	1.439432724
945	1.438963161
946	1.437191327
947	1.433961664
948	1.432184302
949	1.429248673
950	1.425823032
951	1.425145279
952	1.419118324
953	1.414878753
954	1.412028626
955	1.409529958
956	1.4069799
957	1.405480878
958	1.403220754
959	1.398491285
960	1.397510835
961	1.395299986
962	1.391970017
963	1.387784659
964	1.387310227
965	1.385278308
966	1.384644331
967	1.38152858
968	1.379125845
969	1.378672338
970	1.375538451
971	1.373033504
972	1.372520159
973	1.369188015
974	1.367555676
975	1.364287408
976	1.360298894
977	1.3555808
978	1.351265118
979	1.347937773
980	1.346494349
981	1.344958646
982	1.342398394
983	1.340334594
984	1.339687527
985	1.336913537
986	1.33622596
987	1.334647592
988	1.328324371
989	1.325246699
990	1.32213885
991	1.318387897
992	1.318272178
993	1.316078968
994	1.313251426
995	1.313044602
996	1.311554261
997	1.30868177
998	1.305311016
999	1.304750398
