iter	RMSE
0	104.0778169
1	100.1524911
2	96.75689981
3	93.75226135
4	89.91804424
5	86.70554004
6	83.46672989
7	80.40914158
8	77.21546168
9	74.50289039
10	71.74076884
11	69.65076784
12	67.09139179
13	64.52811122
14	62.35686475
15	59.99946729
16	57.7631997
17	55.8010068
18	53.75437454
19	52.20148221
20	50.42879248
21	48.80857998
22	46.86700912
23	44.98118701
24	43.19479133
25	41.58311398
26	40.0275604
27	38.69943085
28	37.40433276
29	36.18870878
30	35.08576315
31	34.02024788
32	32.91873173
33	31.80205644
34	30.82709944
35	30.07412993
36	29.1043168
37	28.11019178
38	27.29707356
39	26.49716825
40	25.74826287
41	24.99431187
42	24.24998143
43	23.5148121
44	22.80311554
45	22.14080089
46	21.59386209
47	21.0146627
48	20.43832135
49	19.9465587
50	19.37299723
51	18.80396717
52	18.31048624
53	17.88534668
54	17.45334417
55	17.04067451
56	16.68790071
57	16.32001879
58	16.00329857
59	15.65613928
60	15.33015732
61	15.00213674
62	14.73065847
63	14.44042649
64	14.15917372
65	13.91402062
66	13.69481167
67	13.52090913
68	13.32311047
69	13.09137503
70	12.91972903
71	12.78352481
72	12.56651496
73	12.42545826
74	12.22735284
75	12.05452413
76	11.87478204
77	11.72166225
78	11.58144157
79	11.44419663
80	11.32429244
81	11.19619376
82	11.06024151
83	10.94839979
84	10.82678108
85	10.69383033
86	10.58390882
87	10.48497066
88	10.38686669
89	10.2927077
90	10.23566544
91	10.1505153
92	10.08191527
93	10.00851427
94	9.925508232
95	9.847158003
96	9.77829501
97	9.712295739
98	9.621300175
99	9.559330561
100	9.524231284
101	9.470641536
102	9.403984514
103	9.36679476
104	9.323853821
105	9.306923151
106	9.270415843
107	9.207960338
108	9.138063299
109	9.088283388
110	9.063856405
111	9.003641448
112	8.964328298
113	8.906680345
114	8.8691969
115	8.835147077
116	8.814820956
117	8.801830174
118	8.779348876
119	8.757626183
120	8.717378031
121	8.685485945
122	8.664682861
123	8.631008324
124	8.579421091
125	8.550341722
126	8.532829496
127	8.497852797
128	8.473001674
129	8.443423595
130	8.408955518
131	8.380594034
132	8.342387763
133	8.330094902
134	8.305314163
135	8.252608465
136	8.216965107
137	8.164946253
138	8.130381792
139	8.107145699
140	8.086355526
141	8.047187289
142	8.017633759
143	7.976538291
144	7.947542219
145	7.915264264
146	7.894404523
147	7.875834856
148	7.841522688
149	7.828501359
150	7.803511672
151	7.789996506
152	7.75858283
153	7.716598489
154	7.690548301
155	7.662730632
156	7.632682644
157	7.612940185
158	7.590175157
159	7.573282357
160	7.557703655
161	7.532653027
162	7.500139461
163	7.470790022
164	7.447396551
165	7.426606155
166	7.396757565
167	7.38430793
168	7.347592602
169	7.338742388
170	7.325922334
171	7.30873083
172	7.291167247
173	7.276388277
174	7.260689479
175	7.252651508
176	7.231103418
177	7.206182314
178	7.17778048
179	7.149358667
180	7.132647293
181	7.115080342
182	7.1088576
183	7.068211292
