iter	Passed	Remaining
466	13444	15344
467	13470	15312
468	13497	15281
469	13524	15251
470	13553	15222
471	13580	15191
472	13607	15160
473	13634	15129
474	13660	15098
475	13689	15070
476	13717	15039
477	13744	15009
478	13770	14978
479	13798	14948
480	13826	14918
481	13853	14888
482	13881	14858
483	13908	14828
484	13936	14798
485	13964	14769
486	13992	14739
487	14020	14709
488	14050	14682
489	14095	14671
490	14156	14675
491	14203	14665
492	14262	14667
493	14307	14655
494	14356	14646
495	14404	14637
496	14439	14613
497	14486	14603
498	14541	14599
499	14578	14578
500	14631	14572
501	14684	14567
502	14723	14548
503	14775	14540
504	14965	14669
505	15095	14737
506	15141	14722
507	15193	14714
508	15241	14702
509	15377	14774
510	15468	14802
511	15514	14787
512	15555	14767
513	15599	14749
514	15655	14743
515	15711	14736
516	15758	14722
517	15804	14705
518	15854	14693
519	15894	14672
520	15940	14655
521	15976	14629
522	16022	14612
523	16064	14592
524	16106	14572
525	16142	14547
526	16189	14530
527	16231	14509
528	16281	14496
529	16328	14480
530	16371	14459
531	16421	14445
532	16462	14424
533	16504	14402
534	16550	14384
535	16591	14362
536	16636	14343
537	16677	14321
538	16803	14371
539	16851	14354
540	16912	14349
541	16962	14333
542	17007	14313
543	17053	14294
544	17102	14278
545	17148	14258
546	17205	14248
547	17264	14240
548	17331	14237
549	17386	14225
550	17431	14204
551	17482	14188
552	17549	14185
553	17589	14160
554	17629	14135
555	17667	14108
556	17702	14078
557	17736	14049
558	17770	14019
559	17812	13995
560	17853	13970
561	17890	13943
562	17923	13912
563	17954	13880
564	17984	13846
565	18012	13811
566	18040	13776
567	18075	13747
568	18104	13713
569	18134	13680
570	18162	13645
571	18192	13612
572	18226	13582
573	18255	13548
574	18284	13514
575	18314	13481
576	18448	13524
577	18495	13503
578	18535	13477
579	18571	13448
580	18602	13415
581	18630	13380
582	18659	13346
583	18691	13314
584	18723	13282
585	18752	13248
586	18782	13214
587	18810	13180
588	18846	13150
589	18876	13117
590	18905	13083
591	18934	13049
592	18963	13015
593	18995	12983
594	19025	12949
595	19054	12916
596	19084	12882
597	19116	12851
598	19146	12817
599	19175	12783
600	19205	12750
601	19249	12726
602	19280	12693
603	19310	12660
604	19336	12624
605	19362	12589
606	19390	12554
607	19418	12519
608	19445	12484
609	19473	12450
610	19499	12414
611	19526	12379
612	19560	12349
613	19590	12315
614	19620	12283
615	19651	12250
616	19685	12219
617	19715	12186
618	19745	12153
619	19776	12120
620	19802	12085
621	19832	12052
622	19858	12016
623	19885	11982
624	19911	11947
625	19938	11912
626	19968	11879
627	19994	11844
628	20021	11809
629	20050	11775
630	20077	11740
631	20108	11708
632	20135	11674
633	20162	11639
634	20190	11605
635	20219	11572
636	20252	11541
637	20282	11508
638	20313	11475
639	20342	11442
640	20380	11414
641	20415	11384
642	20449	11353
643	20485	11324
644	20530	11299
645	20560	11267
646	20587	11232
647	20615	11198
648	20646	11166
649	20674	11132
650	20700	11097
651	20727	11063
652	20754	11028
653	20783	10995
654	20810	10961
655	20837	10927
656	20864	10892
657	20891	10858
658	20921	10825
659	20948	10791
660	20974	10757
661	21000	10722
662	21029	10688
663	21059	10656
664	21086	10622
665	21113	10588
666	21140	10554
667	21171	10522
668	21200	10489
669	21227	10455
670	21254	10421
671	21281	10387
672	21307	10352
673	21340	10322
674	21370	10289
675	21412	10262
676	21452	10235
677	21488	10205
678	21515	10171
679	21542	10137
680	21570	10104
681	21596	10070
682	21627	10037
683	21654	10003
684	21681	9970
685	21707	9936
686	21734	9902
687	21764	9869
688	21792	9836
689	21820	9803
690	21853	9772
691	21880	9738
692	21910	9706
693	21938	9673
694	21968	9640
695	22000	9609
696	22033	9578
697	22063	9546
698	22093	9513
699	22123	9481
700	22165	9454
701	22214	9429
702	22247	9399
703	22278	9367
704	22310	9335
705	22346	9305
706	22376	9273
707	22402	9239
708	22429	9205
709	22460	9174
710	22487	9140
711	22515	9107
712	22542	9073
713	22569	9040
714	22599	9008
715	22625	8974
716	22652	8941
717	22680	8907
718	22707	8874
719	22744	8845
720	22772	8812
721	22816	8785
722	22855	8756
723	22901	8730
724	22940	8701
725	22979	8672
726	23013	8641
727	23042	8609
728	23070	8576
729	23097	8542
730	23124	8509
731	23151	8476
732	23180	8443
733	23210	8411
734	23239	8378
735	23265	8345
736	23295	8313
737	23323	8279
738	23350	8246
739	23377	8213
740	23406	8181
741	23439	8150
742	23470	8118
743	23501	8086
744	23531	8054
745	23561	8022
746	23595	7991
747	23629	7960
748	23663	7930
749	23699	7899
750	23735	7869
751	23770	7839
752	23810	7810
753	23851	7781
754	23899	7755
755	23931	7723
756	23959	7691
757	23987	7658
758	24017	7626
759	24046	7593
760	24074	7560
761	24102	7528
762	24130	7495
763	24160	7463
764	24189	7430
765	24220	7398
766	24251	7367
767	24286	7336
768	24318	7305
769	24349	7273
770	24378	7240
771	24405	7207
772	24435	7175
773	24462	7142
774	24489	7109
775	24516	7076
776	24542	7043
777	24571	7011
778	24597	6978
779	24625	6945
780	24652	6912
781	24679	6879
782	24708	6847
783	24738	6815
784	24768	6783
785	24798	6751
786	24827	6719
787	24856	6687
788	24883	6654
789	24910	6621
790	24937	6589
791	24964	6556
792	24995	6524
793	25021	6491
794	25048	6458
795	25074	6426
796	25102	6393
797	25191	6376
798	25251	6352
799	25280	6320
800	25308	6287
801	25337	6255
802	25381	6226
803	25422	6197
804	25467	6169
805	25509	6139
806	25548	6110
807	25575	6077
808	25605	6045
809	25633	6012
810	25661	5980
811	25689	5947
812	25716	5915
813	25747	5883
814	25775	5850
815	25802	5818
816	25830	5785
817	25856	5753
818	25887	5721
819	25914	5688
820	25940	5655
821	25968	5623
822	25995	5590
823	26026	5559
824	26053	5526
825	26080	5493
826	26107	5461
827	26135	5429
828	26170	5398
829	26196	5365
830	26223	5332
831	26250	5300
832	26276	5267
833	26305	5235
834	26332	5203
835	26358	5170
836	26385	5138
837	26411	5105
838	26444	5074
839	26475	5042
840	26506	5011
841	26539	4980
842	26577	4949
843	26610	4918
844	26644	4887
845	26678	4856
846	26717	4826
847	26749	4794
848	26783	4763
849	26815	4732
850	26845	4700
851	26873	4668
852	26900	4635
853	26926	4603
854	26954	4571
855	26982	4539
856	27011	4507
857	27037	4474
858	27065	4442
859	27094	4410
860	27121	4378
861	27150	4346
862	27176	4314
863	27204	4282
864	27234	4250
865	27266	4219
866	27296	4187
867	27326	4155
868	27356	4124
869	27386	4092
870	27419	4060
871	27448	4029
872	27478	3997
873	27509	3965
874	27539	3934
875	27573	3903
876	27607	3871
877	27641	3840
878	27675	3809
879	27713	3779
880	27747	3747
881	27781	3716
882	27816	3685
883	27846	3654
884	27873	3622
885	27900	3589
886	27927	3557
887	27954	3525
888	27982	3493
889	28009	3461
890	28037	3429
891	28067	3398
892	28099	3366
893	28128	3335
894	28158	3303
895	28187	3271
896	28217	3240
897	28250	3208
898	28280	3177
899	28310	3145
900	28340	3114
901	28382	3083
902	28412	3052
903	28446	3020
904	28477	2989
905	28505	2957
906	28533	2925
907	28560	2893
908	28587	2861
909	28615	2830
910	28642	2798
911	28671	2766
912	28698	2734
913	28725	2702
914	28752	2670
915	28778	2639
916	28808	2607
917	28834	2575
918	28863	2544
919	28890	2512
920	28916	2480
921	28946	2448
922	28973	2417
923	29003	2385
924	29036	2354
925	29066	2322
926	29093	2291
927	29120	2259
928	29147	2227
929	29177	2196
930	29206	2164
931	29233	2132
932	29259	2101
933	29286	2069
934	29316	2038
935	29360	2007
936	29412	1977
937	29461	1947
938	29507	1916
939	29558	1886
940	29601	1855
941	29649	1825
942	29700	1795
943	29749	1764
944	29796	1734
945	29847	1703
946	29887	1672
947	29925	1641
948	29963	1610
949	30007	1579
950	30060	1548
951	30109	1518
952	30155	1487
953	30198	1456
954	30233	1424
955	30277	1393
956	30318	1362
957	30364	1331
958	30409	1300
959	30460	1269
960	30501	1237
961	30542	1206
962	30590	1175
963	30631	1143
964	30668	1112
965	30709	1080
966	30752	1049
967	30792	1017
968	30841	986
969	30900	955
970	30948	924
971	30986	892
972	31025	860
973	31063	829
974	31105	797
975	31161	766
976	31210	734
977	31254	703
978	31308	671
979	31344	639
980	31377	607
981	31406	575
982	31438	543
983	31473	511
984	31505	479
985	31538	447
986	31573	415
987	31609	383
988	31639	351
989	31665	319
990	31692	287
991	31720	255
992	31747	223
993	31774	191
994	31800	159
995	31826	127
996	31858	95
997	31887	63
998	31914	31
999	31940	0
